id	filename	md5	size	state
03a62cea-3361-4ca1-8d13-faebdd04acf0	6f4e8f95-44f7-41c5-8af9-19212eff36d6.rna_seq.augmented_star_gene_counts.tsv	ec68ba604ff846dd7ef824f2b9093a30	4223694	validated
0bd755e8-752f-49f0-9574-ea7813a7f0e0	2fb12ae8-cb05-41bb-a567-0c7e300bb07e.rna_seq.augmented_star_gene_counts.tsv	c28a132a8ac44c45c639ec5213e86a2a	4230124	validated
0d2e0ba3-6f86-4175-9bf5-2cb8e2f099a1	f7a04906-7cb5-4f46-a885-699969be5405.rna_seq.augmented_star_gene_counts.tsv	b3535e6a7c91f6c1eefaf417ce17e3d3	4233438	validated
109598a9-a631-4614-ac79-392a3a4c8302	5ae63973-9111-43c9-9220-7fd7510294e1.rna_seq.augmented_star_gene_counts.tsv	c7070025a1ef0798bf32643fe8255905	4207484	validated
1771fe4f-faa4-42cd-add0-4efc5e1f844a	c70162ed-dafc-4a4c-b7dc-354d2c06b2c9.rna_seq.augmented_star_gene_counts.tsv	1e29f6d978d8399059f1d3d003b3296d	4218226	validated
1efdea26-b38e-448e-b273-d60da255f786	528116e8-c133-49c9-a532-18ad99a6fe52.rna_seq.augmented_star_gene_counts.tsv	00847b1f286d1f1358dfc0e4c8903594	4202370	validated
24781017-b9fd-4da2-b159-f07a521d73cf	70510d37-dc1a-433b-84ee-d0f7d9ca1c3d.rna_seq.augmented_star_gene_counts.tsv	df2ca14118fdda6ef093c09d22dc397e	4197696	validated
291b43c3-4a57-45d9-9652-d1b57c811487	cba52f4f-eb3a-4475-8735-d5c9fd355b3d.rna_seq.augmented_star_gene_counts.tsv	07b4241cfe2ffd0ab18217a612745970	4224912	validated
29fe32dd-c64f-4602-893f-06b8952ab82b	e492067e-bded-4222-a2be-302f6d39160e.rna_seq.augmented_star_gene_counts.tsv	6278fdc144a834423fcb0f332184cc59	4231395	validated
2e968cfd-7ffd-49a2-bae3-cd8c60c36d3f	18ba7bf2-59d3-4c59-acdc-088cf3d4e5a6.rna_seq.augmented_star_gene_counts.tsv	323eb689a2fa1c0f862f2828d7df015b	4207355	validated
308439ee-f4d2-47ef-962a-04737bf760c8	77f1ec90-d172-4200-89e3-6dcc9d2fd40d.rna_seq.augmented_star_gene_counts.tsv	ebe38780766149c1da1958e1c283f92c	4236622	validated
341e31f6-0929-483e-b559-643002e553fc	cead63fa-694c-4d97-b8a8-37f154ee24bb.rna_seq.augmented_star_gene_counts.tsv	a73ea350a4d41d63fb7fbae86ee4c4bf	4224132	validated
374079ce-536d-437e-9252-f7f57e3d3c90	7d8f7d7b-6ee4-4356-b02f-3cb8a392afc6.rna_seq.augmented_star_gene_counts.tsv	37016d41e6dd34baf4d38ee5cc8d3222	4248127	validated
377b5471-64e5-41ff-aa0c-2cb55b36fb6b	bc7a85b6-271c-428c-a98c-1fae090eca66.rna_seq.augmented_star_gene_counts.tsv	f94ad429840c74f9f8598c728a0884b2	4219274	validated
4d33ebc1-087b-4363-9a47-652aaba27bdf	a57de32e-b268-421a-9c93-836bf5458399.rna_seq.augmented_star_gene_counts.tsv	a2fc6cf348ef0b1f50d1339b6ce07689	4241674	validated
4ea91505-776c-4ed8-a1f4-12bcda8eede2	01e08636-b1f0-4e2c-95b8-f9edc686d6f6.rna_seq.augmented_star_gene_counts.tsv	74c514c8de342728508dd21ff438fe37	4232915	validated
4f2cdb97-2aef-4cb9-8fc6-1481d327e0a9	ae91c7cc-3139-4b07-8238-014663059766.rna_seq.augmented_star_gene_counts.tsv	f0e5b678737d157c0e9227c94b4f1bdf	4245483	validated
50ec8594-cb79-4ce3-a034-005db0a9f454	4eda90a7-7f0e-4fa7-95ba-c165c8a24533.rna_seq.augmented_star_gene_counts.tsv	be74c2bb377110276d6a06eb90a5b211	4237694	validated
564cc9ec-4498-4412-9875-abd96fd2ecbf	7739d499-0cf7-4f4a-9c4e-85d651e3e82a.rna_seq.augmented_star_gene_counts.tsv	929ad9ea0581118dd0755457e66704a0	4223225	validated
570a2d46-cdcb-4b1c-9977-193059d3de89	2fe0704c-3147-4527-9f0c-4b0467a26491.rna_seq.augmented_star_gene_counts.tsv	cc24d744933bb656274f89c9f8354561	4216356	validated
5ac2e8f6-d4fb-448e-94ec-e572a030cfda	1242306f-8535-4558-8236-8acca7a33eff.rna_seq.augmented_star_gene_counts.tsv	75d44248d5450e21dea61ea8728d2264	4203293	validated
65e7e3cd-4fea-41bb-aa36-b5ea67dc83b6	0e910746-6d3c-452c-9117-e04cf1bb2795.rna_seq.augmented_star_gene_counts.tsv	e64d386f8f3ca300913611aac3f8e0f2	4215836	validated
68e5c604-ea0b-4eb8-9fe3-911af792ea05	c66f110a-01cc-4952-9e24-d4cdb1b08b4b.rna_seq.augmented_star_gene_counts.tsv	82b6b1c49d81da6a7b2a652b461cb6ba	4219819	validated
